homeTeam,awayTeam,startDate,kickOffTime,tournament
realMadrid,Sevilla,01/01/2019,17:39,spanish cup
Barcelona,Real Sociedad,24/02/2019,11:40,euro cup
Villarreal,realMadrid,10/03/2019,17:08,euro cup
Real Betis,Levante,24/04/2019,08:45,spanish cup
realMadrid,Barcelona,14/04/2019,11:50,euro cup
Espanyol,Eibar,24/05/2019,07:37,euro cup
Sevilla,Valencia,20/05/2019,10:29,spanish cup
Eibar,realMadrid,14/06/2019,08:32,euro cup
Espanyol,Villarreal,24/06/2019,16:45,spanish cup
Levante,Real Betis,02/07/2019,15:22,euro cup
Sevilla,Barcelona,24/08/2019,14:30,spanish cup
realMadrid,Real Sociedad,02/08/2019,13:22,euro cup
Villarreal,Valencia,03/08/2019,20:40,spanish cup
